ID,TICKER,IDENTIFIER_TYPE,IDENTIFIER_VALUE,BS_CURR_RENTAL_EXPENSE,FISCAL_YEAR_PERIOD,ACCOUNTING_STANDARD,OTHER_NONOP_INCOME_LOSS,NONOP_INCOME_LOSS,NI_INCLUDING_MINORITY_INT_RATIO,INCOME_LOSS_FROM_AFFILIATES,OTHER_OPERATING_EXPENSES_RATIO,ZAKAT_EXPENSES_OTHER_RESRV_CHARG,ID_BB_COMPANY,ID_BB_GLOBAL,ID_BB_GLOBAL_COMPANY,IS_NET_ABNORMAL_ITEMS,IS_SGA_EXPENSE,IS_CURRENT_INCOME_TAX_BENEFIT,IS_DEFERRED_INCOME_TAX_BENEFIT,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,IS_SH_PRO_EQY_MT_INV_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,IS_TAX_VALN_ALLOWNCE_CREDITS,IS_SELLING_EXPENSES,IS_SALES_AND_SERVICES_REVENUES,IS_FINANCING_REVENUE,IS_OTHER_REVENUE,IS_COG_AND_SERVICES_SOLD,IS_COST_OF_FINANCING_REVENUE,IS_DA_COST_OF_REVENUE_GAAP,IS_GENERAL_AND_ADMINISTRATIVE,IS_RESEARCH_AND_DEVELOPMENT,IS_DEPRECIATION_AND_AMORTIZATION,IS_OPER_EXPENSES_RD_GAAP,IS_OTHER_INVESTMENT_INCOME_LOSS,SALES_REV_TURN,IS_INT_INC,IS_COGS_TO_FE_AND_PP_AND_G,IS_OPERATING_EXPN,IS_OPER_INC,IS_INT_EXPENSE,IS_FOREIGN_EXCH_LOSS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,IS_TOT_CASH_COM_DVD,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_PERSONNEL_EXP,IS_DEPR_EXP,IS_EXPORT_SALES,IS_CAP_INT_EXP,IS_BASIC_EPS_CONT_OPS,IS_OTHER_OPER_INC,CUR_PROFIT_JAPAN,IS_DIL_EPS_CONT_OPS,IS_DIL_EPS_BEF_XO,OTHER_ADJUSTMENTS,IS_PROVISION_DOUBTFUL_ACCOUNTS,IS_NET_INTEREST_EXPENSE,PRETAX_INC,EBIT,EBITDA,EQY_DPS,OPER_MARGIN,GROSS_MARGIN,EBITDA_MARGIN,XO_GL_NET_OF_TAX,PROF_MARGIN,EARN_FOR_COMMON,GROSS_PROFIT,ACTUAL_SALES_PER_EMPL,EBITA,SALES_GROWTH,CUR_RATIO,QUICK_RATIO,QUICK_RATIO_3Y_GEO_GRWTH,TOT_DEBT_TO_COM_EQY,WORKING_CAPITAL,CF_FREE_CASH_FLOW,NET_INC_GROWTH,TIMESTAMP
661,NVDA,TICKER,NVDA US Equity,356.000000,2026 Q3,US GAAP,-1034.000000,-2573.000000,72880.000000,,0.000000,,313657,BBG000BBJQV0,BBG001FMDZV6,-138.500000,3491.000000,15623.000000,-4477.000000,0.000000,,0.000000,,,130497.000000,,,32639.000000,,,,,,12914.000000,,130497.000000,1786.000000,32639.000000,16405.000000,81453.000000,247.000000,0.000000,11146.000000,72880.000000,0.000000,72880.000000,0.000000,834.000000,24555.000000,2.970000,24804.000000,2.940000,2.970000,,1300.000000,,,2.962000,0.000000,,2.934000,2.940000,0.000000,,-1539.000000,84026.000000,81453.000000,83673.000000,0.034000,62.420000,74.990000,60.450000,0.000000,55.850000,72880.000000,97858.000000,3624916.670000,82373.000000,114.200000,4.440000,3.670000,,12.950000,62079.000000,60853.000000,144.890000,
662,MSFT,TICKER,MSFT US Equity,5524.000000,2026 Q1,US GAAP,5334.000000,4901.000000,101832.000000,,0.000000,,101743,BBG000BPH459,BBG001FDZT64,288.350000,32877.000000,28851.000000,-7056.000000,0.000000,,0.000000,,25654.000000,281724.000000,,,87831.000000,,,7223.000000,,,32488.000000,-2647.000000,281724.000000,,87831.000000,65365.000000,128528.000000,2385.000000,-171.000000,21795.000000,101832.000000,0.000000,101832.000000,0.000000,24678.000000,7433.000000,13.700000,7465.000000,13.640000,13.700000,,22000.000000,,,13.739000,0.000000,,13.679000,13.640000,0.000000,,,123627.000000,128528.000000,168205.000000,3.240000,45.620000,68.820000,61.870000,0.000000,36.150000,101832.000000,193893.000000,1235631.580000,146205.000000,14.930000,1.350000,1.160000,,32.660000,49913.000000,71611.000000,15.540000,
663,GOOGL,TICKER,GOOGL US Equity,4729.000000,2025 Q3,US GAAP,-3620.000000,-7425.000000,100118.000000,,0.000000,,46946968,BBG009S39JX6,BBG009S1XNF4,-1568.150000,41996.000000,24953.000000,-5256.000000,0.000000,,0.000000,,27808.000000,264590.000000,,85428.000000,146306.000000,,,14188.000000,,,49326.000000,,350018.000000,4482.000000,146306.000000,91322.000000,112390.000000,268.000000,409.000000,19697.000000,100118.000000,0.000000,100118.000000,0.000000,7391.400000,12319.000000,8.130000,12447.000000,8.040000,8.130000,,15311.000000,,,8.000000,0.000000,,7.914000,8.040000,0.000000,,-4214.000000,119815.000000,112390.000000,131005.000000,0.600000,32.110000,58.200000,38.150000,0.000000,28.600000,100118.000000,203712.000000,1909296.710000,115694.000000,13.870000,1.840000,1.660000,,7.900000,74589.000000,72764.000000,35.670000,
664,GOOG,TICKER,GOOG US Equity,4729.000000,2025 Q3,US GAAP,-3620.000000,-7425.000000,100118.000000,,0.000000,,46946968,BBG009S3NB30,BBG009S1XNF4,-1568.150000,41996.000000,24953.000000,-5256.000000,0.000000,,0.000000,,27808.000000,264590.000000,,85428.000000,146306.000000,,,14188.000000,,,49326.000000,,350018.000000,4482.000000,146306.000000,91322.000000,112390.000000,268.000000,409.000000,19697.000000,100118.000000,0.000000,100118.000000,0.000000,7391.400000,,,,,,,15311.000000,,,,0.000000,,,,0.000000,,-4214.000000,119815.000000,112390.000000,131005.000000,,32.110000,58.200000,38.150000,0.000000,28.600000,100118.000000,203712.000000,1909296.710000,115694.000000,13.870000,1.840000,1.660000,,7.900000,74589.000000,72764.000000,35.670000,
665,META,TICKER,META US Equity,3203.000000,2025 Q3,US GAAP,0.000000,-1283.000000,62360.000000,,0.000000,,11092218,BBG000MM2P62,BBG001FN8Z22,307.310000,21087.000000,13040.000000,-4737.000000,0.000000,,0.000000,,11347.000000,160633.000000,,3868.000000,30161.000000,,,9740.000000,,,43873.000000,,164501.000000,2517.000000,30161.000000,64960.000000,69380.000000,544.000000,690.000000,8303.000000,62360.000000,0.000000,62360.000000,0.000000,5068.000000,2534.000000,24.610000,2614.000000,23.860000,24.610000,,15287.000000,,,24.731000,0.000000,,23.978000,23.860000,0.000000,,-1973.000000,70663.000000,69380.000000,87237.000000,2.000000,42.180000,81.670000,52.880000,0.000000,37.910000,62360.000000,134340.000000,2220975.600000,71950.000000,21.940000,2.980000,2.820000,,27.250000,66449.000000,54072.000000,59.500000,
666,AVGO,TICKER,AVGO US Equity,187.000000,2025 Q3,US GAAP,-406.000000,3547.000000,5895.000000,,4777.000000,,59907412,BBG00KHY5S69,BBG00KHY5HT8,6367.380000,4959.000000,1783.000000,1965.000000,0.000000,,273.000000,,,51574.000000,,,13042.000000,,6023.000000,,,,9310.000000,,51574.000000,0.000000,19065.000000,19046.000000,13463.000000,3953.000000,0.000000,3748.000000,6168.000000,0.000000,5895.000000,0.000000,9814.000000,4624.000000,1.270000,4778.000000,1.230000,1.334000,,593.000000,,,2.711000,0.000000,,2.620000,1.287000,0.000000,,3953.000000,9916.000000,13463.000000,23660.000000,2.105000,26.100000,63.030000,52.990000,273.000000,11.430000,5895.000000,32509.000000,1393891.890000,23067.000000,43.990000,1.170000,0.820000,,101.830000,2898.000000,19414.000000,-58.140000,
667,WMT,TICKER,WMT US Equity,3492.000000,2026 Q3,US GAAP,1273.000000,3039.000000,20157.000000,,0.000000,,101616,BBG000BWXBC2,BBG001FDZP53,808.100000,139884.000000,6815.000000,-663.000000,0.000000,,0.000000,,,674538.000000,,6447.000000,511753.000000,,,,,,,,680985.000000,483.000000,511753.000000,139884.000000,29348.000000,2249.000000,0.000000,6152.000000,20157.000000,721.000000,19436.000000,0.000000,6688.000000,8041.000000,2.420000,8081.000000,2.410000,2.420000,0.000000,,,,2.518000,0.000000,,2.510000,2.410000,0.000000,,1766.000000,26309.000000,29348.000000,44668.000000,0.830000,4.310000,24.850000,6.090000,0.000000,2.850000,19436.000000,169232.000000,324278.570000,,5.070000,0.820000,0.200000,,66.050000,-17126.000000,12660.000000,25.300000,
668,LLY,TICKER,LLY US Equity,209.600000,2025 Q3,US GAAP,-436.300000,218.600000,10590.000000,49.500000,4141.000000,,100894,BBG000BNBDC2,BBG001FDYYG3,3307.520000,8593.800000,4773.500000,-2683.100000,0.000000,,0.000000,,,40747.900000,,4294.800000,8418.300000,,,,,,10990.600000,,45042.700000,175.200000,8418.300000,23725.400000,12899.000000,780.600000,0.000000,2090.400000,10590.000000,,10590.000000,0.000000,4683.150000,900.605000,11.760000,904.059000,11.710000,11.760000,,1058.000000,,,15.431000,0.000000,,15.369000,11.710000,0.000000,,605.400000,12680.400000,12899.000000,14875.200000,5.200000,28.640000,81.310000,42.030000,0.000000,23.510000,10590.000000,36624.400000,958355.320000,13817.200000,32.000000,1.150000,0.500000,,245.140000,4363.100000,3760.100000,102.080000,
669,ORCL,TICKER,ORCL US Equity,1716.000000,2026 Q1,US GAAP,371.000000,3518.000000,12443.000000,0.000000,2681.000000,,101752,BBG000BQLTW7,BBG001FDZTF4,246.160000,10253.000000,3354.000000,-1637.000000,0.000000,,0.000000,,8651.000000,52198.000000,,5201.000000,16927.000000,,,1602.000000,,,9860.000000,,57399.000000,578.000000,16927.000000,22794.000000,17678.000000,3578.000000,147.000000,1717.000000,12443.000000,,12443.000000,0.000000,4741.300000,2789.000000,4.460000,2866.000000,4.340000,4.460000,,3867.000000,,,4.550000,0.000000,,4.426000,4.340000,0.000000,,3000.000000,14160.000000,17678.000000,25568.000000,1.700000,30.800000,70.510000,41.480000,0.000000,21.680000,12443.000000,40472.000000,354314.810000,21701.000000,8.380000,0.750000,0.610000,,532.750000,-8064.000000,-394.000000,18.880000,
670,XOM,TICKER,XOM US Equity,4343.000000,2025 Q3,US GAAP,-2503.000000,-9342.000000,35063.000000,-6194.000000,947.000000,,100546,BBG000GZQ728,BBG001FDYLD4,-216.000000,8989.000000,14640.000000,-830.000000,0.000000,,0.000000,,,339247.000000,,,265351.000000,,23442.000000,,,,987.000000,,339247.000000,1600.000000,288793.000000,10923.000000,39531.000000,996.000000,-41.000000,13810.000000,35063.000000,1383.000000,33680.000000,0.000000,16704.000000,4298.000000,7.840000,4298.000000,7.840000,7.840000,,22834.000000,,,7.786000,0.000000,,7.786000,7.840000,0.000000,,-604.000000,48873.000000,39531.000000,65269.000000,3.840000,11.650000,14.870000,18.530000,0.000000,9.930000,33680.000000,50454.000000,5570558.290000,42435.000000,1.360000,1.310000,0.950000,,18.280000,21683.000000,30716.000000,-6.470000,
671,UNH,TICKER,UNH US Equity,1400.000000,2025 Q3,US GAAP,8310.000000,12216.000000,15242.000000,,53013.000000,,101548,BBG000CH5208,BBG001FDZM05,16601.900000,,5125.000000,-296.000000,0.000000,,0.000000,,,86266.000000,,314012.000000,310879.000000,,,,,4099.000000,0.000000,,400278.000000,0.000000,310879.000000,57112.000000,32287.000000,3906.000000,0.000000,4829.000000,15242.000000,837.000000,14405.000000,0.000000,7533.000000,921.000000,15.640000,929.000000,15.510000,15.640000,,4099.000000,,,33.667000,0.000000,,33.381000,15.510000,0.000000,,3906.000000,20071.000000,32287.000000,37786.000000,8.180000,8.070000,22.330000,7.360000,0.000000,3.600000,14405.000000,89399.000000,1000695.000000,33687.000000,7.710000,0.830000,0.500000,,88.270000,-17990.000000,20705.000000,-35.640000,
672,COST,TICKER,COST US Equity,453.000000,2025 Q4,US GAAP,-36.000000,-435.000000,8099.000000,,0.000000,,101758,BBG000F6H8W8,BBG001FDZTM6,-92.430000,24966.000000,2799.000000,-80.000000,0.000000,,0.000000,,,269912.000000,,5323.000000,239886.000000,,,,,,0.000000,,275235.000000,469.000000,239886.000000,24966.000000,10383.000000,154.000000,-84.000000,2719.000000,8099.000000,0.000000,8099.000000,0.000000,2184.410000,443.985000,18.240000,444.803000,18.210000,18.240000,,2426.000000,,,18.033000,0.000000,,18.002000,18.210000,0.000000,,-315.000000,10818.000000,10383.000000,13080.000000,4.920000,3.770000,12.840000,4.650000,0.000000,2.940000,8099.000000,35349.000000,807140.760000,10654.000000,8.170000,1.030000,0.500000,,29.260000,1272.000000,7837.000000,9.940000,
673,PG,TICKER,PG US Equity,357.000000,2026 Q1,US GAAP,-154.000000,284.000000,16065.000000,,0.000000,,101215,BBG000BR2TH3,BBG001FDZ8M2,1397.450000,20569.000000,3953.000000,149.000000,0.000000,,0.000000,,,84284.000000,,,41164.000000,,,,,,2100.000000,,84284.000000,469.000000,41164.000000,22669.000000,20451.000000,907.000000,0.000000,4102.000000,16065.000000,91.000000,15974.000000,291.000000,9579.710000,2350.100000,6.670000,2454.400000,6.510000,6.670000,,2527.000000,,,7.268000,0.000000,,7.079000,6.510000,0.000000,,438.000000,20167.000000,20451.000000,23574.000000,4.076000,24.260000,51.160000,27.540000,0.000000,18.950000,15683.000000,43120.000000,773247.710000,21047.000000,0.290000,0.700000,0.440000,,69.390000,-10666.000000,14044.000000,7.360000,
674,HD,TICKER,HD US Equity,2227.000000,2026 Q3,US GAAP,0.000000,2120.000000,14806.000000,,0.000000,,100743,BBG000BKZB36,BBG001FDYSM9,0.000000,28748.000000,4639.000000,-39.000000,0.000000,,0.000000,,,159514.000000,,,106206.000000,,,,,3034.000000,0.000000,,159514.000000,201.000000,106206.000000,31782.000000,21526.000000,2321.000000,0.000000,4600.000000,14806.000000,0.000000,14806.000000,0.000000,8910.000000,990.000000,14.960000,993.000000,14.910000,14.960000,,3336.000000,,,14.960000,0.000000,,14.910000,14.910000,0.000000,,2120.000000,19406.000000,21526.000000,26948.000000,9.000000,13.490000,33.420000,15.400000,0.000000,9.280000,14806.000000,53308.000000,339319.290000,23612.000000,4.480000,1.110000,0.160000,,942.200000,3022.000000,16325.000000,-2.230000,
675,JNJ,TICKER,JNJ US Equity,200.000000,2025 Q3,US GAAP,4928.000000,4351.000000,14066.000000,,211.000000,,100828,BBG000BMHYD1,BBG001FDYWC1,6294.000000,22869.000000,4804.000000,-2183.000000,0.000000,,0.000000,,,88821.000000,,,27471.000000,,,,,,17232.000000,,88821.000000,1332.000000,27471.000000,40312.000000,21038.000000,755.000000,,2621.000000,14066.000000,0.000000,14066.000000,0.000000,11819.840000,2407.300000,5.840000,2429.400000,5.790000,5.840000,,2813.000000,,79.000000,8.458000,0.000000,,8.381000,5.790000,0.000000,,-577.000000,16687.000000,21038.000000,28577.000000,4.910000,23.690000,69.070000,33.660000,0.000000,15.840000,14066.000000,61350.000000,635343.350000,25764.000000,4.300000,1.110000,0.780000,,52.920000,5572.000000,19842.000000,-59.990000,
676,ABBV,TICKER,ABBV US Equity,347.000000,2025 Q3,US GAAP,3240.000000,5421.000000,4286.000000,,2750.000000,,28046509,BBG0025Y4RY4,BBG0025Y4RX5,9440.030000,14752.000000,879.000000,-1449.000000,0.000000,,0.000000,,,56334.000000,,,16904.000000,,,,,,12791.000000,,56334.000000,648.000000,16904.000000,30293.000000,9137.000000,2808.000000,21.000000,-570.000000,4286.000000,8.000000,4278.000000,0.000000,10967.800000,1769.000000,2.400000,1773.000000,2.390000,2.400000,,764.000000,,,7.732000,0.000000,,7.714000,2.390000,40.000000,,2160.000000,3716.000000,9137.000000,17719.000000,6.200000,16.220000,69.990000,29.000000,0.000000,7.590000,4238.000000,39430.000000,1024254.550000,16955.000000,3.710000,0.660000,0.430000,,2045.680000,-13167.000000,17832.000000,-12.030000,
677,KO,TICKER,KO US Equity,362.000000,2025 Q3,US GAAP,-1992.000000,-3094.000000,10649.000000,-1770.000000,4163.000000,,100355,BBG000BMX289,BBG001FDYD88,1742.000000,14582.000000,,,0.000000,,0.000000,,,47061.000000,,,18324.000000,,,,,,0.000000,,47061.000000,988.000000,18324.000000,18745.000000,9992.000000,1656.000000,0.000000,2437.000000,10649.000000,18.000000,10631.000000,0.000000,8359.460000,4309.000000,2.470000,4320.000000,2.460000,2.470000,,1014.000000,,,2.871000,0.000000,,2.863000,2.460000,0.000000,,668.000000,13086.000000,9992.000000,11429.000000,1.940000,21.230000,61.060000,32.980000,0.000000,22.590000,10631.000000,28737.000000,675193.690000,10415.000000,2.860000,1.030000,0.720000,,184.000000,748.000000,4741.000000,-0.770000,
678,TMUS,TICKER,TMUS US Equity,5066.000000,2025 Q3,US GAAP,-113.000000,3298.000000,11339.000000,,0.000000,,8779219,BBG000NDV1D4,BBG001H7TDK1,275.710000,20818.000000,253.000000,3120.000000,0.000000,,0.000000,,,80441.000000,,959.000000,29653.000000,,,,,12919.000000,0.000000,,81400.000000,0.000000,29653.000000,33737.000000,18010.000000,3411.000000,0.000000,3373.000000,11339.000000,0.000000,11339.000000,0.000000,4302.000000,1169.195000,9.700000,1173.214000,9.660000,9.700000,,12062.000000,,34.000000,9.934000,0.000000,,9.895000,9.660000,0.000000,,3411.000000,14712.000000,18010.000000,35716.000000,3.710000,22.130000,63.570000,37.310000,0.000000,13.930000,11339.000000,51747.000000,1162857.140000,23654.000000,3.620000,0.910000,0.480000,,184.550000,-1770.000000,17032.000000,36.340000,
679,CVX,TICKER,CVX US Equity,3447.000000,2025 Q3,US GAAP,-4616.000000,-8589.000000,17749.000000,-4596.000000,28459.000000,,100315,BBG000K4ND22,BBG001FDYC08,-2446.150000,4834.000000,8517.000000,1240.000000,0.000000,,0.000000,,,193414.000000,,,123922.000000,,17282.000000,,,,0.000000,,193414.000000,491.000000,141204.000000,33293.000000,18917.000000,594.000000,520.000000,9757.000000,17749.000000,88.000000,17661.000000,0.000000,11798.480000,1809.583000,9.760000,1816.602000,9.720000,9.760000,,17282.000000,,179.000000,8.408000,0.000000,,8.373000,9.720000,0.000000,,103.000000,27506.000000,18917.000000,39646.000000,6.520000,9.780000,26.990000,18.290000,0.000000,9.130000,17661.000000,52210.000000,4269813.240000,22364.000000,-1.780000,1.060000,0.710000,,19.440000,2353.000000,15044.000000,-17.350000,
680,MRK,TICKER,MRK US Equity,348.000000,2025 Q3,US GAAP,-1093.000000,-24.000000,17133.000000,-14.000000,309.000000,,100978,BBG000BPD168,BBG001FDZ129,654.550000,10816.000000,4052.000000,-1249.000000,0.000000,,0.000000,,,64168.000000,,,15193.000000,,,,,,17938.000000,,64168.000000,415.000000,15193.000000,29063.000000,19912.000000,1271.000000,227.000000,2803.000000,17133.000000,16.000000,17117.000000,0.000000,7943.000000,2532.000000,6.760000,2541.000000,6.740000,6.760000,,2104.000000,,,7.019000,0.000000,,6.998000,6.740000,0.000000,,856.000000,19936.000000,19912.000000,24759.000000,3.120000,31.030000,76.320000,40.840000,0.000000,26.680000,17117.000000,48975.000000,855573.330000,22655.000000,6.740000,1.360000,0.840000,,82.630000,10362.000000,18096.000000,4589.590000,
681,CSCO,TICKER,CSCO US Equity,763.000000,2026 Q1,US GAAP,68.000000,660.000000,10180.000000,,1772.000000,,69423747,BBG000C3J3C9,BBG00Z1JKRH9,264.850000,13958.000000,2052.000000,-1132.000000,0.000000,,0.000000,,10966.000000,56654.000000,,,18690.000000,,1174.000000,2992.000000,,,9300.000000,,56654.000000,1001.000000,19864.000000,25030.000000,11760.000000,1593.000000,0.000000,920.000000,10180.000000,0.000000,10180.000000,0.000000,6437.000000,3976.000000,2.560000,3998.000000,2.550000,2.560000,,609.000000,,,2.627000,0.000000,,2.616000,2.550000,0.000000,,592.000000,11100.000000,11760.000000,15066.000000,1.620000,20.760000,64.940000,28.310000,0.000000,17.970000,10180.000000,36790.000000,862313.550000,14457.000000,5.300000,1.000000,0.740000,,63.280000,-78.000000,13288.000000,-1.360000,
682,ACN,TICKER,ACN US Equity,942.700000,2025 Q4,US GAAP,63.040000,-44.730000,7832.400000,,615.320000,,300787,BBG000D9D830,BBG001FLDTN1,489.410000,11394.410000,2080.640000,357.350000,0.000000,,0.000000,,7043.440000,69672.980000,,,47437.580000,,,4350.970000,,,,,69672.980000,336.320000,47437.580000,12009.740000,10225.660000,228.560000,0.000000,2437.990000,7832.400000,153.970000,7678.430000,0.000000,3700.000000,624.892000,12.290000,632.435000,12.150000,12.290000,,622.490000,,,13.071000,0.000000,,12.924000,12.150000,0.000000,,-107.770000,10270.390000,10225.660000,13380.860000,5.920000,14.680000,31.910000,22.220000,0.000000,11.020000,7678.430000,22235.400000,89407.660000,12758.370000,7.360000,1.420000,1.210000,,26.230000,8548.590000,10874.360000,5.690000,
